"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Is Associated Structure?","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federally Regulated Dam","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Built Under the Authority of the Secretary of Agriculture","NRCS Watershed Dam Authorization","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks (ft)","Lock Width (Ft)","Length of Secondary Lock (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","Operational Status","Operational Status Date","Inundation Maps Added to NID?","American Indian/Alaska Native/Native Hawaiian"
"Senator Wash - Squaw Lake Dike","","","CA10185","S002","CA10185S002","RECLAMATION","Federal","Federal","0","Yes","RECLAMATION","No","Hydroelectric","Hydroelectric;Other","Bureau of Reclamation","","32.9043","-114.4778","California","Imperial","NONE","0","SENATOR WASH - OFFSTREAM","California, Congressional District 25","No","No","","No","No","No","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Earth","Earth","Bituminous Concrete","Rock","95","78","95","95","51-100 feet","3795","950000","1966","1960-1969","2004","17766","17766","9144","470","21","0","None","0","0","0","0","","","","2021-05-24","2020-03-18","1","High","Not Available","","Yes","2017-08-24","https://www.usbr.gov/ssle/damsafety/","","","No",""
"Fresh Water","","","CA01570","","CA01570","","Private","Private","0","No","","","Water Supply","Water Supply","Mine Safety and Health Administration","04-03684-02","33.748611","-117.477222","California","Riverside","Glen Ivy","1","","California, Congressional District 41","No","No","","No","No","No","Yes","","","","","Mine Safety and Health Administration","Mine Safety and Health Administration","","","No","N/A","","Earth","","","17","","","17","Less than 25 feet","97","","","Undetermined","","7","7","","","","","","","","","","","","","2021-05-03","","","High","Not Available","","Not Required","","https://www.msha.gov/training-education/safety-and-health-materials/safety-topic-impoundments-and-dams","","","No",""
"Freshwater/Runoff Pond","Pond 3","","CA01571","","CA01571","Granite Construction","Private","Private","0","No","","","Water Supply","Water Supply;Tailings","Mine Safety and Health Administration","04-03107-01","38.546110999999996","-121.327778","California","Sacramento","Sacramento","0","","California, Congressional District 06","No","No","","No","No","No","Yes","","","","","Mine Safety and Health Administration","Mine Safety and Health Administration","","","No","N/A","Earth","Earth","","","20","","","20","Less than 25 feet","500","","","Undetermined","","340","340","","","","","","","","","","","","","2021-05-03","","","High","Not Available","","No","","https://www.msha.gov/training-education/safety-and-health-materials/safety-topic-impoundments-and-dams","","","No",""
"Poe","","","CA00328","","CA00328","Pacific Gas and Electric Company","Private","Private","1","No","","Yes","Hydroelectric","Hydroelectric","Federal Energy Regulatory Commission","02107-01-01","39.8097","-121.43180000000001","California","Butte","Pulga                                             ","1","North Fork Feather River      ","California, Congressional District 01","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Concrete","Concrete;Gravity","","Rock","80","40","","80","51-100 feet","427","","1958","1950-1959","","1204","1204","1150","53.300000000000004","1942","160000","Controlled","242.5","","","","","","Tainter (radial)6","2024-01-19","2019-08-28","3","Low","Satisfactory","2023-09-29","Not Required","2021-12-23","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Red Bluff Diversion Dike 1","","","CA10181","S001","CA10181S001","RECLAMATION","Federal","Federal","0","Yes","","No","Irrigation","Irrigation","Bureau of Reclamation","","40.1559","-122.20400000000001","California","Tehama","RED BLUFF","2","SACRAMENTO RIVER","California, Congressional District 01","No","No","","No","No","No","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Earth","Earth","Bituminous Concrete","Rock","15","","","15","Less than 25 feet","4500","130800","1963","1960-1969","","4170","4170","3920","0","0","0","None","0","0","0","0","","","","2021-05-24","2000-04-03","6","Low","Not Available","","Not Required","","https://www.usbr.gov/ssle/damsafety/","","","No",""
"Lower Peak Lake Auxiliary","","","CA00365","S001","CA00365S001","Pacific Gas and Electric Company","Private","Private","2","Yes","","Yes","Hydroelectric","Hydroelectric","Federal Energy Regulatory Commission","02310-16-02","39.304100000000005","-120.43860000000001","California","Placer","Washington","25","South Yuba River - Tr         ","California, Congressional District 03","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Earth","Earth","","","7","4","7","7","Less than 25 feet","410","1800","1860","Before 1900","","484","484","480","33.3","1","312","Uncontrolled","55","","","","","","","2024-01-19","2022-06-28","1","High","Satisfactory","2023-09-29","Yes","2022-12-30","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Red Bluff Diversion Dike 2","","","CA10181","S002","CA10181S002","RECLAMATION","Federal","Federal","0","Yes","","No","Irrigation","Irrigation","Bureau of Reclamation","","40.1515","-122.2034","California","Tehama","RED BLUFF","2","SACRAMENTO RIVER","California, Congressional District 01","No","No","","No","No","No","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Earth","Earth","Bituminous Concrete","Rock","15","","","15","Less than 25 feet","600","65500","1963","1960-1969","","4170","4170","3920","0","0","0","None","0","0","0","0","","","","2021-05-24","2000-04-03","6","Low","Not Available","","Not Required","","https://www.usbr.gov/ssle/damsafety/","","","No",""
"Malibou Lake Club","","","CA00739","","CA00739","Malibou Lake Mountain Club, Inc.","Private","Private","0","No","","No","Water Supply","Water Supply;Recreation","California","771","34.1045","-118.7513","California","Los Angeles","Malibu","7","Malibu Creek","California, Congressional District 32","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Arch","Arch","","","44","","39","44","25-50 feet","190","900","1923","1920-1929","","500","500","","55","64","","","","","","","","","","2024-02-22","2021-09-15","1","High","Satisfactory","2017-09-01","Yes","2020-12-22","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"West Side Detention Dike No. 3","Cahuilla","","CA10199","S001","CA10199S001","RECLAMATION","Federal","Federal","0","Yes","","No","Irrigation","Irrigation;Recreation","Bureau of Reclamation","","33.633486052100004","-116.2727059","California","Riverside","","0","WHITEWATER RIVER OS","California, Congressional District 41","No","No","","No","No","No","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Earth","Earth","Bituminous Concrete","Rock","22","15","22","22","Less than 25 feet","6279","0","1970","1970-1979","","1300","1300","0","0","0","0","Uncontrolled","0","0","0","0","","","","2021-05-24","","6","Low","Not Available","","Not Required","","https://www.usbr.gov/ssle/damsafety/","","","No",""
"Clear Lake Dike 1","","","CA10141","S001","CA10141S001","RECLAMATION","Federal","Federal","0","Yes","","No","Irrigation","Irrigation","Bureau of Reclamation","","41.7982","-121.1653","California","Modoc","PEREZ","30","LOST RIVER","California, Congressional District 01","No","No","","No","No","No","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Rockfill","Rockfill;Earth","Bituminous Concrete","Rock","13","6","12","13","Less than 25 feet","1600","63400","1910","1910-1919","","584050","584050","374080","23960","735","5650","Uncontrolled","357","0","0","0","","","","2021-05-24","2020-07-15","1","Low","Not Available","","Yes","2016-12-13","https://www.usbr.gov/ssle/damsafety/","","","No",""
"Lundy Lake","Mill Creek","","CA00451","","CA00451","Southern California Edison Company","Private","Private","1","No","","Yes","Hydroelectric","Hydroelectric;Recreation","Federal Energy Regulatory Commission","01390-01-01","38.0322","-119.2206","California","Mono","Lee Vining                                        ","","Mill Creek                    ","California, Congressional District 03","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Rockfill","Rockfill;Earth","Concrete","Rock;Soil","48","","","48","25-50 feet","690","66000","1911","1910-1919","","4113","4113","4113","132","","8400","Uncontrolled","150","","","","","","","2024-01-19","2023-07-19","1","High","Satisfactory","2023-09-29","Yes","2022-11-03","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Folsom Dike 6","","","CA10148","S006","CA10148S006","RECLAMATION","Federal","Federal","0","Yes","","No","Flood Risk Reduction","Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply","Bureau of Reclamation","","38.7231","-121.171","California","Placer","FOLSOM","1","AMERICAN RIVER","California, Congressional District 03","No","No","","No","No","No","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Earth","Earth","Bituminous Concrete","Rock","40","35","40","40","25-50 feet","1460","0","1956","1950-1959","","1120000","1120000","1010000","11180","1570","0","None","0","0","0","0","","","","2021-05-24","2000-04-07","1","High","Not Available","","Yes","2020-01-24","https://www.usbr.gov/ssle/damsafety/","","","No",""
"Silt Pond","","","CA01589","","CA01589","Brett Jones","Private","Private","0","No","","","Other","Other","Mine Safety and Health Administration","04-01915-01","34.337778","-118.889722","California","Ventura","Moorpark","4","","California, Congressional District 26","No","No","","No","No","No","Yes","","","","","Mine Safety and Health Administration","Mine Safety and Health Administration","","","No","N/A","Earth","Earth","","","80","","","80","51-100 feet","400","","","Undetermined","","20","20","","","","","","","","","","","","","2021-05-03","","","High","Not Available","","No","","https://www.msha.gov/training-education/safety-and-health-materials/safety-topic-impoundments-and-dams","","","No",""
"Upper Pond","Storm Water Pond","","CA01584","","CA01584","Evans Brothers Inc.","Private","Private","0","No","","","Other","Other","Mine Safety and Health Administration","04-00174-02","37.685556","-122.420833","California","San Mateo","Brisbane","1","","California, Congressional District 15","No","No","","No","No","No","Yes","","","","","Mine Safety and Health Administration","Mine Safety and Health Administration","","","No","N/A","Earth","Earth","","","30","","","30","25-50 feet","240","","","Undetermined","","5","5","","","","","","","","","","","","","2021-05-03","","","Significant","Not Available","","No","","https://www.msha.gov/training-education/safety-and-health-materials/safety-topic-impoundments-and-dams","","","No",""
"Sabrina","","","CA00448","","CA00448","Southern California Edison Company","Private","Private","1","No","Manifold and Poole, Engineers","Yes","Hydroelectric","Hydroelectric;Recreation","Federal Energy Regulatory Commission","01394-03-01","37.2119","-118.6115","California","Inyo","Bishop                                            ","20","Middle Fork Bishop Creek      ","California, Congressional District 03","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Rockfill","Rockfill","Unlisted/Unknown","Rock","70","","70","70","51-100 feet","900","47000","1908","1900-1909","","8376","8376","8376","184","17.1","3850","Uncontrolled","40","","","","","","","2024-01-19","2023-07-20","1","High","Satisfactory","2023-09-29","Yes","2022-11-03","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Big Santa Anita","","","CA00188","","CA00188","Los Angeles County Department Of Public Works","Local Government","Local Government","0","No","","Yes","Flood Risk Reduction","Flood Risk Reduction;Irrigation;Water Supply","California","32.002","34.184000000000005","-118.0201","California","Los Angeles","Sierra Madre","0.7000000000000001","Tr Rio Hondo","California, Congressional District 28","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Arch","Arch","","","225","","127","225","Greater than 100 feet","612","76184","1927","1920-1929","","858","858","","5","10.8","","","","","","","","","","2024-02-22","2022-05-25","1","High","Satisfactory","2017-09-01","Yes","2018-01-08","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Folsom Dike 7","","","CA10148","S007","CA10148S007","RECLAMATION","Federal","Federal","0","Yes","","No","Flood Risk Reduction","Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply","Bureau of Reclamation","","38.6953","-121.1421","California","Sacramento","FOLSOM","1","AMERICAN RIVER","California, Congressional District 03","No","No","","No","No","No","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Earth","Earth","Bituminous Concrete","Rock","35","30","35","35","25-50 feet","890","0","1956","1950-1959","","1120000","1120000","1010000","11180","1570","0","None","0","0","0","0","","","","2021-05-24","2000-04-07","1","High","Not Available","","Yes","2020-01-24","https://www.usbr.gov/ssle/damsafety/","","","No",""
"Echo Lake","","","CA00374","","CA00374","El Dorado Irrigation District","Private","Private","1","No","","Yes","Hydroelectric","Hydroelectric;Irrigation;Recreation;Debris Control","Federal Energy Regulatory Commission","00184-01-01","38.835054","-120.04473999999999","California","El Dorado","Lake Tahoe                                        ","9","Echo Creek                    ","California, Congressional District 03","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Roller-Compacted Concrete","Roller-Compacted Concrete","","","12","13","14","14","Less than 25 feet","321","","1992","1990-1999","","1860","1860","1860","338","4.8","1100","Controlled","21","","","","","","","2024-01-19","2023-08-24","1","High","Satisfactory","2023-09-29","Yes","2021-12-23","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Terminal Northeast Auxiliary Dam","Northeast Dam;Terminal","","CA10195","S001","CA10195S001","RECLAMATION","Federal","Federal","0","Yes","","No","Irrigation","Irrigation","Bureau of Reclamation","","38.2216","-122.1594","California","Solano","NONE","0","GREEN VALLEY OS","California, Congressional District 08","No","No","","No","No","No","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Earth","Earth","Bituminous Concrete","Rock","28","19","24","28","25-50 feet","870","58000","1959","1950-1959","","119","119","119","11","1","0","None","0","0","0","0","","","","2021-05-24","2014-10-23","6","Low","Not Available","","Not Required","","https://www.usbr.gov/ssle/damsafety/","","","No",""
"Casitas","","","CA10139","","CA10139","RECLAMATION","Federal","Federal","1","No","","No","Irrigation","Irrigation;Recreation;Water Supply","Bureau of Reclamation","","34.3714","-119.3353","California","Ventura","FOSTER PARK","2","COYOTE CREEK","California, Congressional District 24","No","No","","No","No","No","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Earth","Earth","Bituminous Concrete","Rock","334","279","334","334","Greater than 100 feet","2000","9310000","1959","1950-1959","2001E;2001F;2001S","283727","283727","250835","2720","39","7400","Uncontrolled","50","0","0","0","","","","2021-05-24","2020-07-27","1","High","Not Available","","Yes","2017-04-18","https://www.usbr.gov/ssle/damsafety/","","","No",""
"Whiskeytown","Claire A. Hill Whiskeyton","","CA10204","","CA10204","RECLAMATION","Federal","Federal","2","No","","No","Hydroelectric","Hydroelectric;Irrigation;Water Supply","Bureau of Reclamation","","40.5992","-122.5395","California","Shasta","","0","CLEAR CREEK","California, Congressional District 01","No","No","","No","No","No","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","","No","N/A","Earth","Earth","","","263","263","282","282","Greater than 100 feet","2250","4535000","1963","1960-1969","","276117","276117","241096","3458","202","0","Uncontrolled","21","0","0","0","","","","2021-05-24","2020-03-09","1","High","Not Available","","Yes","2016-12-12","https://www.usbr.gov/ssle/damsafety/","","","No",""
"Lewiston","","","CA10165","","CA10165","RECLAMATION","Federal","Federal","0","No","RECLAMATION","No","Water Supply","Water Supply","Bureau of Reclamation","","40.726400000000005","-122.793","California","Trinity","","0","TRINITY RIVER","California, Congressional District 02","No","No","","No","No","No","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","","No","N/A","Earth","Earth","","","73","73","91","91","51-100 feet","745","265000","1963","1960-1969","","14660","14660","14660","750","719","0","Uncontrolled","66","0","0","0","","","","2021-05-24","2020-09-28","1","High","Not Available","","Yes","2016-12-12","https://www.usbr.gov/ssle/damsafety/","","","No",""
"Dam Lake Norconian West","West Norconian Lake Dam","","CA82566","","CA82566","DOD USN","Federal","Federal","1","No","","No","Recreation","Recreation;Other","US Navy","NFA200000943525","33.924","-117.57400000000001","California","Riverside","NORCO","0","WEST NORCO CHANNEL","California, Congressional District 41","No","No","","No","No","No","Yes","US Navy","US Navy","US Navy","US Navy","US Navy","US Navy","US Navy","US Navy","No","N/A","Earth","Earth","Earth","Unlisted/Unknown","20","","","20","Less than 25 feet","525","","1928","1920-1929","","453","453","431","45","163","25","Uncontrolled","9","0","0","0","","","Valve","2023-11-27","2023-05-31","3","High","Fair","2023-05-31","Yes","2020-12-01","https://www.navy.mil/","","","No",""
"Halsey Forebay No. 1","","","CA00352","","CA00352","Pacific Gas and Electric Company","Private","Private","2","No","","Yes","Hydroelectric","Hydroelectric","Federal Energy Regulatory Commission","02310-30-01","38.9717","-121.0369","California","Placer","Auburn                                            ","1","Dry Creek                     ","California, Congressional District 03","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Earth","Earth","","","42","37","42","42","25-50 feet","850","40000","1913","1910-1919","","244","244","244","18","","1200","Uncontrolled","52","","","","","","","2024-01-19","2023-08-07","1","High","Satisfactory","2023-09-29","Yes","2022-12-30","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Lauer","","","CA10163","","CA10163","BIA","Federal","Federal","0","No","","No","Irrigation","Irrigation","Bureau of Indian Affairs","","41.65783","-120.4666","California","Modoc","ALTURAS","15","NORTH FORK PIT RIVER","California, Congressional District 01","No","No","","No","No","No","Yes","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","Bureau of Indian Affairs","No","N/A","Earth","Earth","","","","","13","13","Less than 25 feet","830","0","1895","Before 1900","","1600","0","1600","0","0","0","Controlled","0","0","0","0","","","","2018-10-04","2012-09-19","5","High","Not Available","","Yes","2011-07-20","https://www.bia.gov/bia/ots/dwp/safety-dams","","","No",""
"Folsom","","","CA10148","","CA10148","RECLAMATION","Federal","Federal","11","No","","No","Hydroelectric","Hydroelectric;Irrigation;Recreation","Bureau of Reclamation","","38.7075","-121.1567","California","Sacramento","","0","AMERICAN RIVER","California, Congressional District 03","No","No","","No","No","No","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","","No","N/A","Concrete","Concrete;Gravity","","","275","275","340","340","Greater than 100 feet","1400","1170000","1956","1950-1959","2000E;2000F;2000H;2000S","1002000","1002000","894000","11180","1870","0","Uncontrolled","0","0","0","0","","","","2021-05-24","2020-09-14","1","High","Not Available","","Yes","2020-01-24","https://www.usbr.gov/ssle/damsafety/","","","No",""
"Terminal","Terminal South Dike","","CA10195","","CA10195","RECLAMATION","Federal","Federal","1","No","","No","Irrigation","Irrigation","Bureau of Reclamation","","38.219100000000005","-122.1586","California","Solano","NONE","0","GREEN VALLEY OS","California, Congressional District 08","No","No","","No","No","No","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Earth","Earth","Bituminous Concrete","Rock","24","21","28","28","25-50 feet","500","58000","1958","1950-1959","","119","119","119","0","0","0","None","0","0","0","0","","","","2021-05-24","2020-09-17","6","Low","Not Available","","Not Required","","https://www.usbr.gov/ssle/damsafety/","","","No",""
"Big Creek Dam No. 4","","","CA00430","","CA00430","Southern California Edison Company","Private","Private","1","No","","Yes","Hydroelectric","Hydroelectric","Federal Energy Regulatory Commission","02175-02-01","37.203376999999996","-119.241445","California","Fresno","Big Creek                                         ","","Big Creek                     ","California, Congressional District 05","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Concrete","Concrete;Arch","Concrete","Rock","75","","","75","51-100 feet","287","6940","1913","1910-1919","","100","100","60","4","107.10000000000001","11000","Controlled","187","","","","","","","2024-01-19","2022-09-21","3","Low","Satisfactory","2023-09-29","Not Required","2022-09-15","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Buckhorn","","","CA10349","","CA10349","RECLAMATION","Federal","Federal","0","No","RECLAMATION","No","","","Bureau of Reclamation","","40.624700000000004","-122.75880000000001","California","Trinity","","0","GRASS VALLEY CREEK","California, Congressional District 02","No","No","","No","No","No","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Earth","Earth","Bituminous Concrete","Rock","84","80","84","84","51-100 feet","794","341900","1991","1990-1999","1988","1460","1460","1100","50","9","0","Controlled","0","0","0","0","","","","2021-05-24","2020-09-17","1","High","Not Available","","Yes","2016-12-12","https://www.usbr.gov/ssle/damsafety/","","","No",""
"Lauro","","","CA10164","","CA10164","RECLAMATION","Federal","Federal","0","No","RECLAMATION","No","Water Supply","Water Supply","Bureau of Reclamation","","34.4542","-119.72720000000001","California","Santa Barbara","SANTA BARBARA","1","DIABLO CREEK","California, Congressional District 24","No","No","","No","No","No","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","No","N/A","Earth","Earth","Bituminous Concrete","Rock","137","102","137","137","Greater than 100 feet","540","469000","1951","1950-1959","2006E","855","855","640","26","1","86","Uncontrolled","3","0","0","0","","","","2021-05-24","2020-08-27","1","High","Not Available","","Yes","2017-05-04","https://www.usbr.gov/ssle/damsafety/","","","No",""
"Balsam Meadow Forebay Dike","Balsam Meadow Dike","","CA01283","S001","CA01283S001","Southern California Edison Company","Private","Private","2","Yes","","Yes","Hydroelectric","Hydroelectric","Federal Energy Regulatory Commission","00067-15-02","37.1633","-119.25","California","Fresno","Big Creek                                         ","5","Balsam Creek                  ","California, Congressional District 05","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Earth","Earth","Earth","Rock","12","20","20","20","Less than 25 feet","264","1600","","Undetermined","","1960","1960","1547","59","2","","None","","","","","","","","2024-01-19","2022-09-20","3","Low","Satisfactory","2023-09-29","Yes","2022-10-18","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Lake O'Neill Dam","Lake O'Neill","","CA10131","","CA10131","DOD USMC","Federal","Federal","0","No","","No","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond;Recreation;Water Supply","US Marine Corps","","33.327","-117.32700000000001","California","San Diego","22 AREA -CHAPPO","2","SANTA MARGARITA RIV OFFSTREAM","California, Congressional District 49","No","No","","No","No","No","Yes","US Marine Corps","US Navy","US Navy","US Navy","US Navy","US Navy","US Marine Corps","US Navy","No","N/A","Earth","Earth","Earth","Unlisted/Unknown","14","17","14","17","Less than 25 feet","1500","","1883","Before 1900","1940","1395","1395","1057","115.7","9","800","Uncontrolled","20","0","0","0","","","None","2021-05-25","2017-06-23","3","High","Fair","2017-06-23","Yes","2012-03-16","https://www.marines.mil/","","","No",""
"Balsam Meadow Forebay Main","","","CA01283","","CA01283","Southern California Edison Company","Private","Private","2","No","Southern California Edison Co.","Yes","Hydroelectric","Hydroelectric","Federal Energy Regulatory Commission","00067-15-01","37.1629","-119.2539","California","Fresno","Big Creek                                         ","5","Balsam Creek                  ","California, Congressional District 05","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Rockfill","Rockfill","Concrete","Rock","123","123","","123","Greater than 100 feet","1325","19900","1986","1980-1989","","1960","1960","1547","59","0.3","9000","Uncontrolled","280","","","","","","","2024-01-19","2023-08-03","1","High","Satisfactory","2023-09-29","Yes","2022-10-18","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Martinez","Mountain View","","CA10168","","CA10168","RECLAMATION","Federal","Federal","0","No","RECLAMATION","No","Water Supply","Water Supply","Bureau of Reclamation","","38.0105929134","-122.10854973800001","California","Contra Costa","","0","PACHECO CREEK OS, TR SACRAMENTO RIV","California, Congressional District 10","No","No","","No","No","No","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","","No","N/A","Earth","Earth","","","44","42","62","62","51-100 feet","1200","195000","1947","1940-1949","","296","296","268","14","0","272","Controlled","0","0","0","0","","","","2021-05-24","2020-08-17","1","High","Not Available","","Yes","2017-04-25","https://www.usbr.gov/ssle/damsafety/","","","No",""
"Kern River No. 1 Forebay","","","CA01614","","CA01614","Southern California Edison Company","Private","Private","1","No","","No","","","Federal Energy Regulatory Commission","01930-02-01","35.458400000000005","-118.7754","California","Kern","","","","California, Congressional District 20","No","No","","No","No","No","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Concrete","Concrete;Gravity","","","10","","","10","Less than 25 feet","","","","Undetermined","","1","","1","1","","","","","","","","","","","2024-01-19","2023-08-29","1","Significant","Satisfactory","2023-09-29","Yes","2023-05-25","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Upper Lindsey","","","CA10393","","CA10393","Pacific Gas and Electric Company","Private","Private","1","No","","No","Hydroelectric","Hydroelectric","Federal Energy Regulatory Commission","02310-04-01","39.4125","-120.6269","California","Nevada","None","","Lindsey Creek                 ","California, Congressional District 03","No","No","","No","No","No","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Earth","Earth","","","8","6","8","8","Less than 25 feet","316","100","1870","Before 1900","","1736","1736","20","85.4","0.6","600","Uncontrolled","30","","","","","","","2024-01-19","2016-08-18","3","Low","Satisfactory","2023-09-29","Not Required","2021-12-23","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
